Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Тригуб,Камілла,Максимівна,Жіноча,15-06-1941,Гірник,селище Хотин,"узвіз Флотський 4-й, буд. 3 кв. 2, Винники, 90203",806 07 62,hanna34@example.org
Масляк,Амалія,Анатоліївна,Жіноча,04-07-1980,Електромонтажник,село Авдіївка,"сквер Карпенка-Карого, буд. 8 кв. 0, Калуш, 11373",+380 42 972 47 98,sachenkoolha@example.com
Єфименко,Азар,Сергійович,Чоловіча,05-03-1990,Детектив,село Берегове,"парк Театральний, буд. 8, Борщів, 65388",+380 54 201-08-86,babiichukkhoma@example.com
Вітер,Стефан,Семенович,Чоловіча,26-07-1977,Науковець,село Рівне,"проспект Зелена гірка, буд. 94 кв. 7, Зборів, 63605",303 92 82,venedyktopanasenko@example.net
Рудик,Валентина,Василівна,Жіноча,02-01-1992,Намотувальник,село Вільногірськ,"вулиця Гілельса, буд. 57, Герца, 35389",905-32-31,kharchenkomarko@example.com
Сагаль,Варвара,Романівна,Жіноча,21-08-1959,Промисловець,селище Красилів,"проспект Мирослава Скорика, буд. 1 кв. 97, Мелітополь, 24106",067 57 10,ustym08@example.net
Цюпа,Охрім,Петрович,Чоловіча,20-03-1993,Машиніст,село П'ятихатки,"провулок Газовий, буд. 71 кв. 244, Коростишів, 48292",094 340-03-27,dan88@example.org
Саєнко,Онисим,Борисович,Чоловіча,25-10-1949,Штукатур,місто Шахтарськ,"сквер Чубаївська, буд. 629 кв. 519, Кодима, 77842",016 989-42-83,overkhola@example.com
Удовиченко,Сергій,Олександрович,Чоловіча,18-01-2007,Бізнесмен,село Лозова,"узвіз Ференца Ліста, буд. 93 кв. 0, Корець, 72294",+380 81 510-84-39,davydenkoanton@example.com
Ніколюк,Тарас,Сергійович,Чоловіча,14-11-1946,Антрополог,хутір Барвінкове,"шосе Китобійний 1-й, буд. 26, Кадіївка, 81481",017 500-44-71,amvrosii63@example.org
Копитко,Франц,Володимирович,Чоловіча,19-02-2002,Сантехнік,село Новодністровськ,"парк Мукачівський, буд. 053 кв. 454, Українськ, 86859",584 60 17,kabanenkomykhailyna@example.org
Власюк,Сніжана,Петрівна,Жіноча,01-12-2002,Петрограф,хутір Енергодар,"набережна Заводська 5-та, буд. 18 кв. 854, Вільногірськ, 09165",574-69-81,joliinyk@example.org
Колісниченко,Марʼяна,Романівна,Жіноча,13-07-1994,Фармацевт,хутір Дружківка,"проспект Лінія 31-ша, буд. 436 кв. 4, Подільськ, 27926",174-21-75,vsemenchenko@example.net
Тимчук,Давид,Юрійович,Чоловіча,20-03-1982,Візажист,селище Миколаївка,"узвіз Амбулаторний 1-й, буд. 284 кв. 15, Івано-Франківськ, 15941",+380 65 795 74 31,oieremenko@example.org
Литвиненко,Тереза,Михайлівна,Жіноча,13-10-2001,Секретар,село Судак,"площа Вузький, буд. 874, Ананьїв, 46524",+380 (58) 065-05-53,shukhevychleontii@example.org
Чміль,Людмила,Григорівна,Жіноча,01-11-1992,Вчитель,хутір Біляївка,"площа Олександрійський, буд. 64, Конотоп, 13371",+380 03 772-40-23,zakharlukash@example.org
Андрусенко,Левко,Іванович,Чоловіча,02-10-1939,Провізор,селище Малин,"сквер Українська, буд. 303, Гірник, 76887",934 07 54,danzatula@example.com
Дейнеко,Федір,Григорійович,Чоловіча,21-07-1975,Електрослюсар,місто Лебедин,"вулиця Хаджибейська дорога, буд. 01, Калинівка, 82232",+380 09 560-75-52,hermanaverchenko@example.net
Чарниш,Онисим,Романович,Чоловіча,22-01-1979,Кінокритик,місто Прилуки,"проспект Родоканакі, буд. 42, Перемишляни, 82447",069 314 69 13,gsirko@example.org
Микитюк,Борислав,Ігорович,Чоловіча,12-03-1992,Флорист,село Яремче,"проспект Ігоря Ветрогонова, буд. 4 кв. 2, Помічна, 18638",480 25 54,pshovkoplias@example.com
Саченко,Камілла,Ігорівна,Жіноча,17-06-1961,Клавішник,хутір Ланівці,"парк Сирітський 2-й, буд. 9 кв. 554, Таврійськ, 81307",006 705 06 03,durdynetsarsen@example.com
Лавренко,Святослава,Григорівна,Жіноча,25-07-1944,Астроном,хутір Великі Мости,"шосе Корнюшина, буд. 7 кв. 321, Гола Пристань, 75785",025 242 58 94,xdrobakha@example.net
Андріїшин,Аркадій,Олегович,Чоловіча,27-03-1944,М'ясник,селище Мирноград,"провулок Городня, буд. 4 кв. 05, Щолкіне, 59836",+380 48 223 75 25,ydziuba@example.net
Бабариченко,Максим,Євгенович,Чоловіча,07-07-1987,Професор,селище Остер,"узвіз Почаївська, буд. 68, Миронівка, 17637",013 669-99-50,wivanchenko@example.org
Джунь,Демʼян,Євгенович,Чоловіча,22-05-1987,Мінералог,село Зборів,"парк Бардаха, буд. 7, Ворожба, 88815",648-49-72,ieva03@example.net
Парасюк,Антон,Євгенович,Чоловіча,21-05-1991,Електромонтажник,селище Устилуг,"набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 205 кв. 8, Кобеляки, 22103",+380 41 227-11-77,shcherbanpriska@example.net
Демʼянюк,Богодар,Дмитрович,Чоловіча,08-09-1985,Дизайнер,хутір Вишневе,"сквер Дубова, буд. 5 кв. 39, Гнівань, 45103",075 340-80-29,nestaikotetiana@example.org
Дашенко,Олекса,Васильович,Чоловіча,24-05-1973,Детектив,селище Тисмениця,"провулок Лінія 30-та, буд. 6, Ківерці, 03705",051 993 81 35,volodymyriurchuk@example.org
Яремків,Віталій,Юрійович,Чоловіча,15-01-1947,Дипломат,селище Алушта,"площа Траса Здоров'я, буд. 811, Запоріжжя, 58319",865-32-67,erika48@example.com
Шахрай,Арсен,Іванович,Чоловіча,23-09-1999,Клавішник,село Ладижин,"провулок Діхтієвського Віктора, буд. 2 кв. 5, Турка, 77774",807 05 23,anastasiiabashpolchenko@example.org
Вівчаренко,Орина,Максимівна,Жіноча,18-08-1989,Менеджер,село Армянськ,"узвіз Кременецький, буд. 104 кв. 08, Кременець, 81561",+380 (00) 211-03-20,nataliiachalenko@example.net
Корж,Ірина,Василівна,Жіноча,27-06-1941,Астронавт,село Вознесенськ,"сквер Зелена гірка, буд. 1, Полонне, 19406",+380 (11) 754-62-99,iaroslavadrobakha@example.net
Валенко,Святослав,Дмитрович,Чоловіча,24-01-1969,Графік,місто Болехів,"парк Степова, буд. 016 кв. 197, Сміла, 36069",+380 50 133-13-94,ielysei93@example.org
Удовенко,Лукʼян,Володимирович,Чоловіча,20-09-1969,М'ясник,село Красилів,"площа Лінія 51-ша, буд. 639 кв. 616, Чернігів, 18108",166 30 82,vatamaniukherman@example.net
Атаманчук,Семен,Юрійович,Чоловіча,04-09-1947,Різноробочий,селище Білгород-Дністровський,"парк Десятого квітня, буд. 444, Нетішин, 19406",+380 (91) 730-23-30,aaron89@example.net
Усик,Амвросій,Семенович,Чоловіча,19-06-1947,Медик,хутір Тернівка,"набережна Рекордний, буд. 9 кв. 4, Славута, 82417",+380 63 318-06-55,bohuslavadanylenko@example.com
Скоробогатько,Ірина,Григорівна,Жіноча,29-01-1948,Локсмайстер,місто Чернівці,"вулиця Гайова, буд. 308, Пирятин, 25818",+380 57 477-66-73,nzakharchenko@example.com
Власюк,Едуард,Володимирович,Чоловіча,09-05-1987,Фольклорист,селище Яворів,"проспект Костанді 2-й, буд. 859 кв. 145, Харцизьк, 31607",+380 48 524 94 01,hresomelian@example.org
Якименко,Алла,Василівна,Жіноча,21-06-1977,Гірник,місто Чуднів,"площа Квіткова, буд. 39, Здолбунів, 22519",+380 33 776-06-40,artymovychamvrosii@example.net
Гайденко,Вадим,Сергійович,Чоловіча,14-12-2007,Медик,село Бердичів,"вулиця Об'їзна дорога, буд. 178, Лохвиця, 19141",002 99 70,izhakarsen@example.com
Верховинець,Софія,Михайлівна,Жіноча,11-12-1952,Математик,селище Київ,"площа Кобзаря, буд. 6, Луцьк, 75082",+380 (31) 940-88-71,wbairak@example.org
Батіг,Марина,Іванівна,Жіноча,12-07-2003,Бухгалтер,хутір Полонне,"провулок Скляна, буд. 486, Федорівка, 76506",022 928 88 78,ielyseizakharchenko@example.org
Зубко,Зиновій,Євгенович,Чоловіча,28-09-1944,Електротехнік,селище Кілія,"проспект Ключовий 2-й, буд. 5, Заводське, 64434",+380 (23) 022-82-50,kovpakliudmyla@example.org
Дуплій,Семен,Григорійович,Чоловіча,30-04-1989,Маркетолог,селище Бар,"площа Мигдальна, буд. 658 кв. 989, Сарни, 86629",+380 12 055-06-99,pkhrystych@example.com
Архимович,Вʼячеслав,Дмитрович,Чоловіча,01-08-1986,Археолог,місто Біляївка,"площа Короткий, буд. 8 кв. 9, Перечин, 17324",604-34-94,jprytula@example.net
Гайда,Михайлина,Євгенівна,Жіноча,19-05-1942,Візажист,селище Узин,"проспект Сталепрокатна, буд. 05 кв. 809, Чорнобиль, 73573",093 80 38,oleksandr50@example.com
Шведченко,Теодор,Дмитрович,Чоловіча,13-05-1950,Стиліст,хутір Луцьк,"провулок Галини Могильницької, буд. 276, Вишгород, 47971",065 177 76 87,oleksariabets@example.org
Демʼянчук,Макар,Максимович,Чоловіча,10-06-1958,Етнограф,хутір Новомиргород,"провулок Люстдорфська дорога, буд. 966, Устилуг, 64456",+380 91 558-01-91,heorhiizubko@example.org
Ящук,Маруся,Михайлівна,Жіноча,19-08-2004,Державний службовець,хутір Дружківка,"узвіз Привокзальна, буд. 19 кв. 2, Кадіївка, 19489",088 813-85-64,zynovii14@example.com
Черненко,Ігор,Олегович,Чоловіча,17-02-1946,Патологоанатом,селище Липовець,"вулиця Конструкторський, буд. 19, Немирів, 10995",934 71 91,bopanasenko@example.net
Теличенко,Галина,Петрівна,Жіноча,26-11-1982,Маркетолог,хутір Сколе,"узвіз Маршрутна, буд. 72 кв. 311, Алушта, 81612",012 672 17 52,vzakharenko@example.com
Алексеєнко,Володимира,Сергіївна,Жіноча,28-11-2007,Драматург,селище Сіверськ,"набережна Поперечний, буд. 8 кв. 1, Самбір, 28903",+380 25 919 67 74,vyshyvanabohdan@example.net
Бандурка,Василь,Дмитрович,Чоловіча,13-06-1954,Дипломат,село Умань,"проспект Халайджогло, буд. 511 кв. 697, Калуш, 37066",379-78-93,erikadzhus@example.org
Верхола,Камілла,Євгенівна,Жіноча,18-09-2004,Фрілансер,хутір Охтирка,"узвіз Наклонна, буд. 26 кв. 851, Баштанка, 72362",+380 40 070-75-20,okovalenko@example.com
Швайка,Ада,Євгенівна,Жіноча,06-07-1956,Дизайнер,місто Звенигородка,"вулиця Москеті, буд. 67 кв. 02, Збараж, 98031",+380 (23) 065-09-32,marusia77@example.com
Андрейко,Надія,Максимівна,Жіноча,04-09-1990,Фермер,село Берислав,"узвіз Лазурний 3-й, буд. 773, Алчевськ, 87736",061 550-33-46,chuikoiukhym@example.net
Дрозденко,Алевтин,Арсенович,Чоловіча,20-09-1957,Зоолог,селище Нетішин,"провулок Старорізнична, буд. 5 кв. 87, Зоринськ, 02949",030 640 30 95,danylo21@example.net
Чалий,Аніта,Анатоліївна,Жіноча,13-02-1995,Бізнесмен,місто Чоп,"шосе Українська, буд. 54, Нікополь, 59384",420-99-21,tsimashkevych@example.org
Шевченко,Надія,Олегівна,Жіноча,08-10-1971,Хімік,хутір Броди,"проспект Щіпний, буд. 09 кв. 81, Білозерське, 78314",011 021 13 31,ztykhyi@example.com
Перебийніс,Надія,Олегівна,Жіноча,24-09-2006,Намотувальник,хутір Ічня,"набережна Костанді 2-й, буд. 24, Українськ, 66936",+380 (97) 083-69-15,tesliaspas@example.net
Левченко,Остап,Іванович,Чоловіча,23-06-1939,Патологоанатом,місто Рубіжне,"сквер Ткачова, буд. 916, Скадовськ, 91582",080 209-71-73,leontii70@example.net
Онищенко,Христина,Василівна,Жіноча,07-11-1996,Кур'єр,селище Армянськ,"парк Тролейбусна, буд. 291, Феодосія, 29816",+380 02 355-20-29,stetsliliia@example.org
Дараган,Дмитро,Євгенович,Чоловіча,22-10-1943,Підприємець,місто Барвінкове,"провулок Конструкторський, буд. 8, Прип'ять, 95849",+380 (67) 591-58-64,demianonyshchenko@example.com
Оніщук,Леонід,Максимович,Чоловіча,18-07-2000,Ді-джей,місто Петрово-Красносілля,"проспект Глаубермана, буд. 30, Шептицький, 20195",+380 48 301 48 73,asheremet@example.net
Ковалюк,Олекса,Ігорович,Чоловіча,22-11-2001,Ґрунтознавець,місто Берегове,"узвіз Санітарна, буд. 100, Пирятин, 60490",025-42-67,prokhir07@example.org
Батіг,Камілла,Семенівна,Жіноча,22-10-1985,Мірошник,хутір Отаманівка,"набережна Луганська, буд. 3, Новгород-Сіверський, 40522",+380 (66) 000-02-82,aaron04@example.com
Романчук,Тетяна,Андріївна,Жіноча,06-10-1990,Гінеколог,місто Нововолинськ,"сквер Обривиста, буд. 9 кв. 46, Лисичанськ, 39215",886-71-31,olenafomenko@example.net
Левченко,Марʼяна,Семенівна,Жіноча,07-07-1982,Стропальник,село Теребовля,"сквер Берестейська, буд. 8 кв. 532, Федорівка, 76542",303 93 87,mykhailozabila@example.net
Гавриш,Леонід,Борисович,Чоловіча,01-10-1949,Диригент,селище Оріхів,"узвіз Зоопаркова, буд. 017, Калинівка, 93339",+380 85 434-19-05,klyment71@example.com
Валенко,Федір,Петрович,Чоловіча,13-08-1972,Кінорежисер,хутір Чугуїв,"вулиця Гімназична, буд. 227 кв. 82, Алушта, 38295",242-88-33,komarkamilla@example.org
Медведенко,Володимира,Іванівна,Жіноча,15-05-1970,Мистецтвознавець,хутір Новоселиця,"площа Садова 6-та, буд. 878, Косів, 91804",096 899 08 87,zsahal@example.com
Адамчук,Володимира,Олександрівна,Жіноча,01-05-1989,Кінокритик,хутір Мелітополь,"узвіз Уральський, буд. 0, Подільськ, 76115",431-68-46,zakhargerus@example.net
Тичина,Данило,Андрійович,Чоловіча,25-04-1947,Кухар,хутір Радомишль,"узвіз Кавказька, буд. 24, Хмельницький, 59166",+380 46 726 69 31,zhuravelanton@example.org
Іващенко,Володимир,Олегович,Чоловіча,06-12-1994,Будник,село Підгородне,"площа Хвойний, буд. 1 кв. 0, Чернігів, 55526",736-99-61,okhrimaverchenko@example.com
Гречко,Єлисавета,Юріївна,Жіноча,14-04-2004,Ботанік,хутір Новогродівка,"шосе Санітарна, буд. 53 кв. 077, Березне, 12139",+380 23 418 33 11,vitalii23@example.com
Вергун,Тарас,Сергійович,Чоловіча,25-12-2002,Краєзнавець,хутір Ічня,"провулок Бокаріуса, буд. 0, Тлумач, 36667",+380 43 969-52-02,zatovkaniukhlib@example.net
Єрьоменко,Соломія,Володимирівна,Жіноча,17-02-1977,Геофізик,село Перечин,"шосе Килимовий, буд. 17, Сарни, 41135",+380 07 905 08 63,qstelmakh@example.org
Данькевич,Ганна,Ігорівна,Жіноча,07-05-2003,Кінолог,місто Білгород-Дністровський,"площа Поперечний, буд. 37, Кременець, 13003",+380 (10) 468-29-30,fedir17@example.org
Жарко,Тимофій,Андрійович,Чоловіча,25-04-2008,Різноробочий,місто Копичинці,"шосе Просвіти, буд. 16, Гайсин, 93923",335 13 99,liudmylatymchuk@example.net
Охримович,Єлисей,Володимирович,Чоловіча,03-04-1961,Бухгалтер,село Перевальськ,"сквер Йозефа Прибіка, буд. 02 кв. 8, Конотоп, 46954",+380 (97) 847-81-88,redkoparmen@example.com
Палій,Тетяна,Андріївна,Жіноча,03-06-1994,Журналіст,село Борщів,"узвіз Біляївська, буд. 608, Кам'янка (Черкаська область), 29373",647 14 95,havrylovlokh@example.org
Байдак,Мілена,Ігорівна,Жіноча,24-03-1957,Юрист,село Кролевець,"сквер Миколи Пильчикова, буд. 142 кв. 295, Кипуче, 75404",+380 (49) 862-91-85,varvara43@example.org
Цюпа,Альберт,Олександрович,Чоловіча,26-04-1991,Астроном,селище Чоп,"провулок Хвойний, буд. 245, Іршава, 35968",366 21 17,pshukhevych@example.net
Ващук,Нестор,Ігорович,Чоловіча,13-08-1968,Бібліограф,хутір Славутич,"шосе Красива, буд. 0, Дубляни, 29479",+380 86 601-05-11,danylenkokyrylo@example.net
Корж,Адам,Борисович,Чоловіча,20-09-1968,Кінокритик,селище Броди,"сквер Бузковий 1-й, буд. 3, Устилуг, 72912",+380 27 233 44 32,isaievycheduard@example.net
Давимука,Олесь,Васильович,Чоловіча,01-09-1949,Гінеколог,місто Сокиряни,"парк Василя Кандинського, буд. 45, Долина, 42374",+380 34 304-30-23,okhrimumanets@example.com
Лесик,Августин,Олегович,Чоловіча,25-11-2003,Палеонтолог,місто Южноукраїнськ,"парк Станційна 2-га, буд. 4, Яготин, 12167",+380 69 808 27 02,terezafomenko@example.net
Адамчук,Маруся,Іванівна,Жіноча,12-05-1950,Кухар,хутір Белз,"парк Пересипська 4-та, буд. 856 кв. 158, Андрушівка, 06658",091 922-36-39,abaklan@example.net
Зайченко,Вікторія,Романівна,Жіноча,22-05-1969,Електромонтер,село Южноукраїнськ,"проспект Новоберегова, буд. 187, Макіївка, 25807",093 623 89 02,goliashielysaveta@example.net
Дубина,Пармен,Сергійович,Чоловіча,09-04-1939,Гірничий інженер,місто Підгородне,"проспект Нескучна, буд. 24, Заставна, 35346",+380 70 054-24-52,oleksa21@example.net
Захарченко,Вадим,Семенович,Чоловіча,07-05-1944,Візажист,хутір Рубіжне,"парк Варненська, буд. 07, Комарно, 52073",064 737 96 48,chervonenkovasylyna@example.org
Кабалюк,Михайло,Євгенович,Чоловіча,31-07-1972,Історик,хутір Старий Крим,"проспект Ширяївський, буд. 10 кв. 9, Вовчанськ, 09364",007 527-72-67,qvlasiuk@example.com
Ященко,Надія,Семенівна,Жіноча,07-12-1962,Електрослюсар,місто Черкаси,"провулок Мала, буд. 75 кв. 58, Стебник, 92996",+380 56 401-72-39,snizhana22@example.org
Дашкевич,Сергій,Анатолійович,Чоловіча,24-09-1942,Сантехнік,хутір Переяслав,"парк Рельєфна, буд. 5 кв. 1, Макіївка, 51681",+380 34 235-00-09,bohdannanazarenko@example.org
Гоголь,Єфрем,Сергійович,Чоловіча,09-07-1978,Режисер,хутір Дружківка,"площа Капітана Кузнецова, буд. 35, Коростишів, 18565",013 290 90 79,valentyna65@example.com
Франко,Богдан,Борисович,Чоловіча,08-11-1947,Громадський діяч,село Зеленодольськ,"парк Музична, буд. 99 кв. 652, Мерефа, 71025",016 956 59 54,iukhymenkorostyslav@example.org
Швачко,Камілла,Олегівна,Жіноча,31-03-1958,Гицель,місто Борзна,"площа Василя Кандинського 2-й, буд. 91, Дебальцеве, 63591",+380 75 231-11-38,arkadiibabych@example.org
Ажажа,Юстина,Володимирівна,Жіноча,05-03-1981,Клавішник,село Соледар,"провулок Матеріальний 1-й, буд. 46 кв. 40, Благовіщенське, 90440",748-03-88,nmatviienko@example.net
Дараган,Леопольд,Максимович,Чоловіча,04-02-1990,Намотувальник,селище Пирятин,"узвіз Климовича, буд. 15, Копичинці, 08466",100 34 35,havrylenkonataliia@example.com
Дубенко,Аврелій,Борисович,Чоловіча,18-04-1964,Золотар,селище Бровари,"провулок Умова, буд. 591, Путивль, 57032",095 486 89 43,opanas10@example.com
Батюк,Марко,Ігорович,Чоловіча,30-07-1949,Піаніст,місто Синельникове,"провулок Приморська, буд. 203, Вишгород, 65319",041 116-87-64,ihor00@example.com
Андрейко,Амвросій,Васильович,Чоловіча,30-05-1952,Психолог,місто Сміла,"набережна Берегова, буд. 282 кв. 92, Борщів, 96253",+380 37 382 54 72,kyrylenkoboryslav@example.org
Червоненко,Алевтин,Дмитрович,Чоловіча,11-09-1947,Продюсер,село Петрово-Красносілля,"вулиця Йоганна Ансельма, буд. 021 кв. 52, Хирів, 76940",+380 31 273-40-01,liliiadavydenko@example.net
Цюцюра,Ярина,Михайлівна,Жіноча,04-06-1964,Державний службовець,село Соснівка,"шосе Тетяни Тесс, буд. 20 кв. 40, Ніжин, 62081",+380 42 249 37 19,vasylynaandriievych@example.com
Їжак,Святослав,Сергійович,Чоловіча,28-04-1955,Водій,село Міусинськ,"сквер Гвоздична, буд. 9, Донецьк, 64188",+380 (88) 411-76-66,khrystenkoodarka@example.org
Салій,Зорян,Арсенович,Чоловіча,24-02-2004,Медик,місто Ужгород,"парк Творча, буд. 92, Олександрія, 01000",903 41 38,iurchukarsen@example.org
Абраменко,Амвросій,Борисович,Чоловіча,29-03-1996,Фармацевт,селище Батурин,"парк Адольфа Лози, буд. 27 кв. 6, Надвірна, 76349",+380 (68) 445-78-14,okanivets@example.com
Шеремета,Леонтій,Михайлович,Чоловіча,10-06-1980,Програміст,місто Іловайськ,"вулиця Український 2-й, буд. 73 кв. 6, Камінь-Каширський, 19484",077 038-03-65,petliurastefan@example.net
Стус,Клавдія,Анатоліївна,Жіноча,17-01-1964,М'ясник,селище Шахтарське,"сквер Юрія Єгорова, буд. 57, Городенка, 21885",+380 08 099-81-70,stanislavpalii@example.org
Кармалюк,Надія,Максимівна,Жіноча,30-12-1953,Психолог,село Заліщики,"набережна Стражеска Миколи, буд. 8, Заліщики, 24164",+380 70 983-10-43,charnyshherman@example.org
Салій,Лесь,Олександрович,Чоловіча,29-07-1943,Хореограф,місто Апостолове,"парк Книжковий, буд. 619, Феодосія, 18811",+380 (84) 861-61-52,ebandurka@example.org
Ванченко,Ліза,Юріївна,Жіноча,03-02-1994,Музикознавець,хутір Іловайськ,"шосе Офіцерська, буд. 34, Красилів, 89192",+380 12 545-04-44,viktordubenko@example.net
Міщенко,Микита,Євгенович,Чоловіча,22-05-1998,Науковець,хутір Золочів,"вулиця Заводська, буд. 573 кв. 472, Сторожинець, 10051",+380 79 971-38-12,talanmarko@example.org
Артеменко,Пріска,Арсенівна,Жіноча,11-03-1989,Ювелір,місто Золочів,"проспект Олега Андрійця, буд. 2 кв. 894, Лубни, 44293",512 51 83,spasdanchuk@example.net
Гоголь-Яновська,Леонід,Андрійович,Чоловіча,29-05-1996,Біолог,село Деражня,"парк Лиманчик 2-й Лінія 1-ша, буд. 7 кв. 04, Голубівка, 07587",065 091 00 96,illia29@example.com
Бабко,Тимофій,Романович,Чоловіча,17-11-1941,Паралегал,селище Маріуполь,"узвіз Друга, буд. 1 кв. 54, Волноваха, 81665",032 331 68 73,iakymenkoemiliia@example.net
Кармалюк,Демʼян,Євгенович,Чоловіча,27-04-1974,Бібліограф,місто Белз,"набережна Виноградний тупик, буд. 8, Малин, 31345",086 209-86-93,hordiionufriienko@example.com
Скопенко,Амалія,Григорівна,Жіноча,12-10-1939,Фотограф,місто Погребище,"парк Лесі Українки, буд. 637, Путивль, 62291",507-71-80,jartym@example.net
Михайлюк,Варфоломій,Арсенович,Чоловіча,04-08-1966,Музикант,місто Переяслав,"вулиця Одеський, буд. 4 кв. 298, Лебедин, 81224",+380 32 250 83 51,solomonzinchuk@example.net
Таран,Валентина,Василівна,Жіноча,09-12-1951,Літературознавець,хутір Брянка,"узвіз Бориса Дерев'янка, буд. 4 кв. 84, Бобринець, 16461",013 821-07-04,erika76@example.com
Рябошапка,Оксана,Ігорівна,Жіноча,23-01-1963,Астрофізик,село Бровари,"узвіз Поліська, буд. 880, Помічна, 68339",+380 24 770-53-17,srudyk@example.org
Вобла,Соломія,Максимівна,Жіноча,05-09-1969,Фольклорист,село Городня,"набережна Решата Аметова, буд. 7, Севастополь, 30127",+380 71 049 84 42,aduplii@example.net
Ґоляш,Олег,Васильович,Чоловіча,25-06-1941,Ді-джей,село Судова Вишня,"площа Багринова, буд. 707 кв. 462, Кальміуське, 11195",+380 68 761-62-24,ihorbatiuk@example.org
Затовканюк,Ігор,Володимирович,Чоловіча,02-06-1945,Кінокритик,село Сіверськ,"набережна Заводська 3-тя, буд. 6, Подільськ, 33749",+380 32 139-95-04,wdankevych@example.org
Редько,Теодор,Євгенович,Чоловіча,11-08-1946,Перекладач,село Красногорівка,"сквер Степна, буд. 00 кв. 00, Стебник, 25349",+380 36 874 32 89,opanaskhmara@example.net
Андрощук,Алевтин,Іванович,Чоловіча,25-05-1953,Кур'єр,місто Борислав,"площа Литавровий, буд. 948, Городня, 13443",630-18-04,bohodar48@example.com
Гаврюшенко,Дарина,Андріївна,Жіноча,11-03-1990,Фізик,селище Верхівцеве,"проспект Айвазовського, буд. 5 кв. 689, Мерефа, 39299",+380 (22) 198-16-94,avreliibazylevskyi@example.org
Полтавець,Герман,Юрійович,Чоловіча,13-02-2007,Хореограф,село Джанкой,"провулок Лінія 25-та, буд. 349 кв. 672, Сколе, 30723",672-62-76,jkorpaniuk@example.com
Мазепа,Леон,Петрович,Чоловіча,14-12-1985,Фармацевт,місто Дніпрорудне,"проспект Аркадійська, буд. 531, Докучаєвськ, 72117",+380 98 742-72-71,erika23@example.net
Забіла,Станіслав,Дмитрович,Чоловіча,10-08-1977,Ювелір,селище Долинська,"вулиця Мала, буд. 2, Кальміуське, 66193",709-94-87,fshtokalo@example.org
Чередник,Данило,Дмитрович,Чоловіча,12-09-1954,Кінорежисер,місто Щастя,"узвіз Заводська 5-та, буд. 464 кв. 32, Заставна, 27073",019 52 77,rostyslav00@example.com
Сіробаба,Демид,Максимович,Чоловіча,05-01-1998,Перекладач,хутір Славутич,"узвіз Скляна, буд. 41 кв. 07, Новомиргород, 24908",+380 70 022 55 48,briabovil@example.org
Бевзенко,Марʼяна,Олегівна,Жіноча,09-09-1993,Композитор,селище Боярка,"площа Колонічна, буд. 72 кв. 854, Тростянець, 02044",+380 14 489-00-40,avrelii70@example.com
Єрченко,Дан,Олександрович,Чоловіча,18-04-1983,Намотувальник,місто Кипуче,"площа Володі Дубініна, буд. 16 кв. 2, Кривий Ріг, 89191",+380 28 146 40 92,rnalyvaiko@example.net
Артюх,Алла,Олегівна,Жіноча,02-11-2002,Дерун,селище Бібрка,"набережна Наявний 4-й, буд. 542 кв. 6, Житомир, 61039",+380 (23) 077-63-52,mdzyndra@example.com
Полтавець,Юстина,Григорівна,Жіноча,24-05-1964,Геолог,місто Славутич,"шосе Симфонічна, буд. 2, Таврійськ, 94685",036 818 09 81,vira43@example.com
Цушко,Георгій,Дмитрович,Чоловіча,13-02-1950,Гірничий інженер,хутір Тульчин,"узвіз Компасний, буд. 470, Валки, 51691",+380 69 661-99-18,prokhir27@example.net
Їжакевич,Данило,Дмитрович,Чоловіча,31-08-1975,Швачка,селище Кагарлик,"провулок Відважних, буд. 01, Зугрес, 74409",066 824 97 71,dashkevychopanas@example.org
Якименко,Леон,Васильович,Чоловіча,13-01-1984,Підприємець,селище Кіцмань,"парк Надії Пучковської, буд. 83 кв. 65, Зборів, 10818",+380 11 742-65-11,zlysenko@example.net
Яременко,Аліна,Василівна,Жіноча,19-02-1962,Нотаріус,місто Родинське,"узвіз Дальня, буд. 3, Золотоноша, 84924",+380 55 866 57 40,aiarema@example.org
Малик,Віктор,Романович,Чоловіча,29-04-1963,Піаніст,місто Гуляйполе,"провулок Лузанівський 1-й, буд. 82, Городенка, 60545",+380 53 519 90 44,wdavydenko@example.net
Іванченко,Веніямин,Ігорович,Чоловіча,23-12-2006,Модельєр,хутір Новий Розділ,"площа Лінія 40-ва, буд. 5 кв. 210, Хрустальний, 62599",579 23 49,tovstolisiukhym@example.com
Єрмоленко,Людмила,Анатоліївна,Жіноча,01-12-1958,Прокурор,село Кам'янець-Подільський,"набережна Змієнка Всеволода, буд. 698 кв. 406, Кілія, 35797",+380 (98) 988-63-41,liudmylazaika@example.net
Щорс,Ліза,Андріївна,Жіноча,25-07-1939,Фермер,місто Світлодарськ,"сквер Локомотивний 3-й, буд. 8 кв. 14, Жовті Води, 73265",218 89 85,iakiv79@example.com
Батуринець,Геннадій,Юрійович,Чоловіча,31-01-1959,Програміст,селище Алупка,"парк Авангардна, буд. 9 кв. 199, Бар, 40274",092 301-54-37,xchmil@example.org
